Case,Gender,Division,Depression,Anxiety,Stress,Satisfaction with Life,+Group,Subgroup,Wellbeing1,Wellbeing2,Wellbeing3,Wellbeing4,Wellbeing5,Wellbeing6,Strength1,Strength2,Strength3,Strength4,Strength5
1,M,Bendigo,40,30,15,28,4,A,0,10,1,3,4,0,3,5,3,3,3
2,F,Adelaide,32,38,40,22,2,C,10,9,6,1,4,0,3,2,4,4,1
3,M,Adelaide,6,32,47,8,3,A,9,7,8,9,4,8,3,1,3,2,5
4,F,Adelaide,18,23,26,33,4,C,4,7,1,6,4,3,3,2,3,2,4
5,M,Adelaide,46,45,25,34,3,A,1,0,2,9,4,2,3,3,5,3,4
6,F,Adelaide,28,47,50,36,4,C,2,5,7,1,4,8,3,5,3,3,5
7,M,Adelaide,7,14,9,31,3,B,4,2,2,6,4,10,3,2,4,5,5
8,F,Adelaide,9,44,33,22,2,B,10,6,0,5,4,7,3,5,3,4,1
9,M,Adelaide,14,21,38,30,3,B,10,6,7,10,4,2,3,2,5,1,5
10,F,Adelaide,10,36,37,5,2,A,6,7,9,0,4,8,3,2,5,1,4
11,M,Adelaide,29,41,48,32,2,C,2,8,8,3,5,7,3,4,1,1,2
12,F,Adelaide,10,18,32,25,1,A,8,7,4,7,5,4,3,4,1,5,5
13,M,Adelaide,16,38,23,49,3,B,3,9,5,2,5,1,3,1,1,5,3
14,F,Adelaide,41,17,20,19,3,C,7,8,10,7,5,1,3,4,2,1,1
15,M,Adelaide,49,23,37,49,3,C,10,8,10,6,5,8,3,2,4,2,5
16,F,Adelaide,28,36,32,22,4,C,7,7,5,4,5,7,3,1,3,1,1
17,M,Adelaide,45,28,19,46,3,C,5,9,2,7,5,9,3,1,2,5,5
18,F,Adelaide,46,15,8,25,2,B,6,3,3,9,5,1,3,4,1,5,4
19,M,Adelaide,37,27,29,28,4,B,3,8,2,2,5,9,3,2,1,2,2
20,F,Adelaide,37,30,28,16,1,A,10,9,8,10,5,4,3,2,1,4,4
21,M,Adelaide,5,9,12,32,1,A,8,7,8,6,5,1,2,3,2,3,5
22,F,Adelaide,18,30,35,27,1,C,3,9,5,4,5,2,2,3,1,4,2
23,M,Adelaide,24,26,14,34,1,A,9,4,0,0,5,10,2,3,3,3,1
24,F,Adelaide,45,13,8,46,2,B,1,4,9,3,5,7,2,3,5,2,3
25,M,Adelaide,43,19,42,9,2,C,7,4,7,10,5,6,2,3,2,3,2
26,F,Adelaide,49,8,30,10,1,B,5,4,6,2,5,4,2,3,5,5,1
27,M,Adelaide,26,40,10,36,2,A,1,4,9,5,6,0,2,3,3,3,3
28,F,Adelaide,47,14,19,34,3,C,10,4,0,3,6,3,2,3,1,1,3
29,M,Adelaide,24,40,48,36,2,B,0,4,6,10,6,2,2,3,1,5,1
30,F,Adelaide,32,37,34,40,3,B,1,4,3,9,6,5,2,3,1,4,1
31,M,Adelaide,28,17,5,14,4,B,5,4,7,8,6,3,3,3,5,5,3
32,F,Adelaide,48,35,15,28,4,C,0,4,5,2,6,6,1,3,3,5,1
33,M,Adelaide,35,7,36,19,2,A,8,5,7,10,6,9,3,3,4,1,3
34,F,Adelaide,14,32,20,18,1,B,2,5,9,6,6,5,4,3,3,3,2
35,M,Adelaide,15,41,34,10,1,C,8,5,10,1,6,7,1,3,3,1,1
36,F,Adelaide,26,44,37,31,1,A,0,5,0,10,6,5,5,3,3,2,1
37,M,Adelaide,47,26,45,22,3,B,3,5,0,7,7,2,4,3,3,2,2
38,F,Adelaide,23,37,47,38,1,A,4,5,5,1,7,3,4,3,3,3,5
39,M,Adelaide,17,28,25,12,2,B,5,5,7,8,7,6,4,3,3,1,3
40,F,Adelaide,37,28,36,49,1,C,6,5,2,3,7,6,1,3,3,1,2
41,M,Adelaide,15,28,35,34,3,A,4,5,3,4,7,7,4,3,3,2,2
42,F,Adelaide,14,12,24,34,3,A,4,5,5,4,6,6,5,2,3,1,5
43,M,Adelaide,14,46,32,47,4,B,8,5,4,4,7,10,1,2,3,1,3
44,F,Adelaide,14,40,29,47,4,C,7,5,9,3,3,6,3,2,3,1,5
45,M,Adelaide,32,38,9,41,1,A,1,5,10,8,0,7,2,2,3,1,4
46,F,Adelaide,34,25,9,7,1,C,3,5,10,4,7,2,4,2,3,5,2
47,M,Adelaide,14,47,33,5,2,C,10,5,9,6,1,4,1,2,3,5,4
48,F,Adelaide,39,18,37,27,3,A,7,5,9,5,2,4,2,2,3,5,4
49,M,Adelaide,30,12,5,28,3,C,9,6,8,7,8,4,2,2,3,5,3
50,F,Adelaide,44,50,50,32,1,A,7,6,9,5,0,4,2,2,3,5,2
51,M,Adelaide,25,16,5,31,2,C,2,6,3,2,2,4,1,2,3,2,4
52,F,Adelaide,34,11,28,29,2,A,3,6,3,3,5,4,4,1,3,2,2
53,M,Adelaide,22,41,31,29,2,C,4,6,3,10,1,4,5,3,3,1,4
54,F,Adelaide,36,33,14,33,3,A,2,6,5,10,3,4,4,1,3,4,3
55,M,Adelaide,30,25,28,43,3,A,9,6,9,2,7,4,5,2,2,2,4
56,F,Adelaide,44,45,21,40,2,C,9,6,0,8,2,4,2,4,2,1,1
57,M,Adelaide,49,50,14,5,4,A,6,6,4,0,2,5,5,2,2,2,2
58,F,Adelaide,31,10,41,12,4,A,3,6,4,6,3,5,4,3,2,4,2
59,M,Adelaide,16,41,11,45,1,C,8,7,1,9,5,5,5,3,2,1,1
60,F,Adelaide,47,39,34,40,4,A,10,7,4,4,8,5,2,4,2,3,4
61,M,Adelaide,13,14,17,12,4,B,9,7,10,0,10,5,3,2,2,3,5
62,F,Adelaide,15,10,29,8,3,B,1,7,8,8,2,5,4,1,2,3,1
63,M,Adelaide,16,29,12,12,3,C,9,7,2,0,10,5,3,5,2,3,3
64,F,Bendigo,6,47,26,45,3,A,3,8,3,6,1,5,1,3,2,3,1
65,M,Adelaide,40,5,14,18,2,B,1,6,7,4,5,5,2,4,5,3,4
66,F,Bendigo,44,50,38,7,4,B,9,2,10,4,3,5,4,3,3,3,3
67,M,Adelaide,8,8,45,8,2,B,6,6,0,7,10,5,2,1,2,3,4
68,F,Bendigo,28,16,12,6,4,B,5,4,0,6,4,5,2,1,3,3,5
69,M,Adelaide,45,33,23,32,1,C,2,0,3,3,6,5,3,3,1,3,3
70,F,Bendigo,27,16,8,46,2,B,5,2,5,6,6,5,3,4,3,3,5
71,M,Adelaide,17,24,35,21,2,A,4,0,3,1,10,5,1,4,4,3,4
72,F,Bendigo,27,5,7,12,2,A,6,7,9,10,6,5,4,3,3,3,3
73,M,Adelaide,20,24,47,42,2,C,1,3,3,10,9,6,5,4,2,3,3
74,F,Bendigo,39,33,47,37,2,B,10,9,4,3,4,6,3,1,1,3,5
75,M,Adelaide,22,45,30,26,3,C,8,7,8,8,8,6,2,5,2,3,4
76,F,Bendigo,30,48,29,42,1,A,7,6,9,10,8,6,1,3,4,3,3
77,M,Adelaide,48,42,16,13,1,A,10,7,5,3,3,6,2,5,1,3,5
78,F,Bendigo,31,7,23,24,3,A,4,0,9,1,3,6,1,2,5,3,1
79,M,Adelaide,44,49,6,36,2,C,10,8,9,7,6,6,4,1,5,3,2
80,F,Bendigo,35,10,33,44,2,A,3,8,5,8,0,6,5,5,5,2,5
81,M,Adelaide,46,44,15,26,1,C,9,7,6,10,9,6,2,5,3,2,4
82,F,Bendigo,39,44,32,22,4,C,3,3,6,4,7,6,5,5,5,2,5
83,M,Adelaide,21,6,11,28,4,B,5,9,7,9,9,7,5,5,2,2,5
84,F,Bendigo,35,32,26,29,3,C,7,4,7,5,3,7,5,3,5,2,5
85,M,Adelaide,6,34,13,41,2,B,7,3,6,8,9,7,2,3,3,2,4
86,F,Bendigo,49,41,48,11,3,A,4,1,5,6,8,7,4,2,3,2,1
87,M,Adelaide,29,16,43,40,3,B,7,4,7,9,2,7,5,2,3,2,5
88,F,Bendigo,30,22,19,5,3,A,1,4,7,10,10,3,5,3,5,2,3
89,M,Adelaide,10,22,23,18,4,B,7,9,8,2,3,6,3,1,5,2,4
90,F,Bendigo,33,25,27,41,1,C,3,5,3,0,10,9,5,2,4,5,3
91,M,Adelaide,26,6,21,35,3,B,9,8,8,6,10,4,4,1,1,1,3
92,F,Bendigo,46,34,19,16,1,A,10,4,6,3,7,6,4,4,3,5,3
93,M,Adelaide,11,22,14,32,3,C,1,6,10,8,9,6,4,1,3,1,3
94,F,Bendigo,47,7,23,38,3,B,7,1,1,9,2,7,4,1,1,4,3
95,M,Adelaide,20,26,11,16,2,B,7,2,0,9,1,3,4,5,1,1,3
96,F,Bendigo,7,13,31,8,4,C,9,1,4,0,6,9,4,5,5,5,3
97,M,Adelaide,13,50,40,14,3,C,1,1,8,4,0,8,4,5,2,5,3
98,F,Bendigo,42,46,24,35,3,A,4,8,8,1,3,9,4,2,4,2,3
99,M,Adelaide,30,46,7,35,3,C,8,1,10,6,5,4,4,4,2,1,3
100,F,Bendigo,47,21,13,47,3,B,4,7,6,6,5,4,4,2,5,3,3
101,M,Adelaide,9,32,39,10,3,C,2,9,5,5,0,3,5,5,2,5,3
102,F,Bendigo,25,49,34,8,1,C,5,5,9,7,8,4,5,1,2,4,3
103,M,Adelaide,43,22,43,42,4,A,1,0,3,0,7,4,5,3,1,3,3
104,F,Bendigo,17,37,14,35,1,A,1,3,4,4,6,10,5,1,4,4,3
105,M,Adelaide,47,11,23,16,1,A,4,0,3,4,4,5,5,2,4,1,3
106,F,Bendigo,20,11,26,15,2,C,0,5,5,4,10,0,5,2,5,4,3
107,M,Adelaide,19,37,5,5,3,A,0,4,4,4,2,2,5,3,2,4,3
108,F,Bendigo,31,21,14,35,1,C,8,6,9,4,8,1,5,1,5,5,3
109,M,Adelaide,26,31,38,19,2,B,10,9,5,4,2,4,5,1,3,2,3
110,F,Bendigo,9,14,5,27,2,B,10,0,10,4,4,6,5,2,1,4,2
111,M,Adelaide,11,36,9,11,3,B,10,8,1,4,9,0,5,1,1,3,2
112,F,Bendigo,19,24,15,10,3,B,6,7,2,4,3,7,5,1,3,2,2
113,M,Adelaide,5,6,35,21,2,C,0,3,5,4,2,6,5,1,5,3,2
114,F,Bendigo,29,25,8,31,2,A,5,4,1,5,4,0,5,1,1,4,2
115,M,Adelaide,23,46,35,14,2,B,0,2,7,5,3,9,5,2,3,1,2
116,F,Bendigo,9,30,21,19,1,B,9,1,2,5,7,3,5,4,1,4,2
117,M,Adelaide,16,42,6,43,2,A,7,8,2,5,7,6,6,5,3,1,2
118,F,Bendigo,12,50,38,30,2,B,5,6,4,5,3,3,6,5,4,3,2
119,M,Adelaide,5,39,32,46,4,A,1,9,3,5,9,9,6,4,3,1,2
120,F,Bendigo,11,38,26,46,1,B,9,7,7,5,8,7,6,1,5,2,4
121,M,Adelaide,44,40,30,30,2,A,4,9,6,5,9,5,6,1,1,2,1
122,M,Bendigo,37,47,24,30,1,C,2,2,4,5,7,5,6,3,3,3,1
123,M,Adelaide,36,18,24,23,3,C,4,1,4,5,1,7,6,5,4,1,5
124,M,Bendigo,5,42,11,21,2,A,10,10,10,5,6,7,6,5,4,1,5
125,M,Adelaide,9,49,36,17,2,B,4,6,6,5,2,3,6,3,3,2,1
126,F,Bendigo,36,12,6,44,2,B,8,1,7,5,9,7,6,5,1,1,1
127,M,Adelaide,14,47,39,18,4,C,0,0,10,5,1,1,7,5,4,1,2
128,F,Bendigo,20,35,14,5,1,C,10,7,5,5,7,7,7,1,5,1,3
129,M,Adelaide,8,42,31,37,3,B,4,6,0,5,9,9,7,1,2,1,1
130,F,Bendigo,14,22,10,8,2,A,2,10,4,6,0,0,7,5,3,5,1
131,M,Adelaide,41,39,28,14,1,A,9,1,9,6,6,1,7,2,4,2,1
132,M,Bendigo,44,38,11,21,2,B,5,4,1,6,6,7,5,5,3,3,3
133,M,Adelaide,27,35,26,37,1,A,7,2,9,6,8,6,5,4,3,3,1
134,F,Bendigo,5,47,20,48,2,A,8,6,3,6,5,10,3,2,2,4,3
135,M,Adelaide,49,15,50,41,4,C,6,2,8,6,6,3,1,1,4,3,2
136,F,Bendigo,38,49,38,5,4,A,5,1,0,6,5,2,3,3,4,4,5
137,M,Adelaide,18,43,23,18,4,C,0,5,7,6,7,5,3,2,2,4,2
138,M,Bendigo,17,34,6,25,2,C,7,9,1,6,2,7,3,4,3,3,2
139,M,Adelaide,16,43,26,17,3,C,9,8,1,6,9,3,4,4,3,5,4
140,F,Bendigo,14,39,39,12,3,B,6,4,10,7,5,9,5,1,4,1,4
141,M,Adelaide,11,46,19,31,2,B,3,9,10,7,8,9,5,3,2,2,2
142,F,Bendigo,19,11,50,34,1,C,8,1,5,7,1,10,3,4,5,3,1
143,M,Adelaide,50,38,43,11,3,C,5,0,2,7,9,10,1,2,3,3,3
144,M,Bendigo,29,39,9,27,3,A,7,3,1,7,0,8,4,2,3,3,2
145,M,Adelaide,15,20,14,23,2,A,6,10,3,7,6,9,2,1,1,3,4
146,F,Bendigo,31,12,45,9,4,A,0,3,10,2,1,6,4,1,4,3,1
147,M,Adelaide,45,41,17,18,3,B,0,4,4,6,6,8,1,2,2,3,3
148,F,Bendigo,49,41,28,23,4,B,2,10,0,7,8,1,2,4,4,3,2
149,M,Adelaide,22,24,11,18,2,C,9,0,4,6,0,4,5,3,4,3,3
150,F,Bendigo,44,37,10,7,1,B,4,10,5,0,10,7,3,5,5,3,3
151,M,Adelaide,9,7,5,18,3,A,3,2,2,7,5,10,5,5,5,3,2
152,F,Bendigo,11,16,50,23,2,B,9,4,6,0,1,2,3,3,1,3,5
153,M,Adelaide,6,18,41,20,4,C,10,4,1,4,4,4,2,2,3,3,3
154,F,Bendigo,45,25,29,9,2,B,10,4,10,4,8,0,3,3,4,3,2
155,M,Adelaide,49,29,7,44,2,C,5,4,6,1,9,7,3,1,2,3,4
156,F,Bendigo,21,14,7,16,4,C,5,4,0,10,9,8,3,1,2,3,2
157,M,Adelaide,49,38,11,32,2,C,10,4,8,5,3,0,4,3,4,3,4
158,F,Bendigo,32,9,5,9,4,B,6,4,0,4,0,9,2,5,2,3,1
159,M,Adelaide,46,15,32,38,3,A,7,4,9,9,2,1,2,4,4,3,2
160,M,Bendigo,42,22,33,7,2,B,8,4,10,0,8,7,2,2,1,3,1
161,M,Adelaide,35,14,48,37,3,A,1,4,4,9,4,7,4,1,2,3,5
162,M,Bendigo,44,27,23,37,4,A,6,5,8,1,0,10,5,3,4,3,1
163,M,Adelaide,44,26,45,31,3,A,3,5,5,6,5,5,4,5,1,2,5
164,M,Bendigo,7,10,25,16,1,C,4,5,9,5,5,6,2,3,3,2,4
165,M,Adelaide,26,21,48,32,1,C,9,5,9,4,7,8,1,5,5,2,3
166,M,Bendigo,12,12,27,26,3,B,9,5,5,4,9,7,4,3,5,2,2
167,M,Adelaide,26,9,22,49,3,A,7,5,4,6,7,10,4,3,3,2,3
168,M,Bendigo,39,42,17,43,1,B,7,5,10,9,10,0,2,1,3,2,5
169,M,Adelaide,11,21,46,9,3,C,1,5,1,2,7,5,5,1,3,2,1
170,M,Bendigo,37,39,50,19,2,B,10,5,3,9,1,4,2,4,3,2,1
171,M,Adelaide,13,35,23,42,3,C,4,5,3,3,3,2,2,4,3,2,4
172,M,Bendigo,22,47,29,49,4,B,3,5,0,7,10,9,2,1,3,2,4
173,F,Adelaide,19,23,47,34,4,C,1,5,9,3,3,5,1,5,3,4,1
174,M,Bendigo,45,48,41,21,4,B,7,5,5,1,7,1,2,5,3,2,5
175,F,Adelaide,39,21,42,8,3,A,4,5,8,2,1,8,4,5,3,5,2
176,M,Bendigo,31,50,43,16,2,C,8,5,10,1,1,8,2,5,3,2,4
177,F,Adelaide,10,47,11,42,1,B,6,5,1,4,3,0,4,3,3,4,1
178,M,Bendigo,11,31,5,6,4,B,5,6,10,6,5,6,3,1,3,1,4
179,F,Adelaide,26,31,7,13,3,A,3,6,10,5,5,1,3,1,3,1,2
180,M,Bendigo,46,5,11,34,1,C,9,6,2,5,1,9,3,1,3,4,1
181,F,Adelaide,47,25,6,39,1,B,1,6,6,8,5,1,4,4,3,5,4
182,M,Bendigo,16,42,21,49,3,B,4,6,9,4,8,8,5,3,3,2,4
183,F,Adelaide,9,5,37,30,4,A,3,6,6,9,8,3,2,4,3,3,2
184,M,Bendigo,27,42,9,34,2,B,7,6,9,5,10,6,3,4,3,3,1
185,F,Adelaide,39,50,25,20,2,A,0,6,1,5,8,8,3,3,3,4,1
186,M,Bendigo,29,44,23,48,4,B,0,6,0,2,4,10,4,3,3,2,5
187,F,Adelaide,22,17,16,14,3,A,9,6,9,3,8,1,5,4,2,4,2
188,M,Bendigo,48,13,12,6,4,B,8,7,7,5,9,4,3,3,2,2,5
189,F,Adelaide,49,18,22,27,1,C,5,7,10,7,7,10,5,3,2,5,5
190,M,Bendigo,11,50,27,45,2,B,3,7,8,2,1,7,5,3,2,4,4
191,M,Adelaide,19,48,10,18,2,A,5,7,3,0,1,5,5,1,2,3,2
192,M,Bendigo,48,42,36,7,2,A,8,7,2,8,6,3,1,1,2,3,4
193,M,Adelaide,31,11,26,13,1,C,0,8,3,4,9,3,3,2,2,4,2
194,F,Bendigo,34,42,14,14,2,C,3,1,8,8,4,4,5,2,2,1,2
195,M,Adelaide,47,6,35,18,3,B,0,6,0,10,6,0,3,4,2,2,3
196,F,Bendigo,7,22,11,8,2,C,6,10,7,9,10,4,2,1,2,2,1
197,M,Adelaide,45,34,5,41,3,A,6,9,0,8,6,7,4,3,5,2,1
198,F,Bendigo,8,42,21,36,4,A,7,4,7,5,6,5,3,3,3,1,3
199,M,Adelaide,10,33,8,44,3,B,1,2,9,2,0,0,4,5,4,4,5
200,F,Bendigo,36,41,14,41,3,B,0,9,9,2,4,2,2,3,3,3,1